Species and subspecies,Wild ancestor,Date,Location of origin,Purpose,Image,Degree and type of domestication,Extent in wild vs captivity,Taxon group,Domestic
og (Canis lupus familiaris)[3],Extinct Pleistocene population of Gray wolf (Canis lupus)[4],13000 BCE[5][6],"China,[7][8][9]","Pets, hunting, herding, guarding, pest control, transportation, draft, working, show, racing, sport, meat, rescuing, guiding, fighting, service, research, policing, narcotics detection, patrol, fibre, truffle harvesting, education, therapy",,"Tame (with exceptions),[10] significant physical changes, probably significant behavioral changes","Domestic and feral dogs both very common,[10] ancestor or nearest wild relative less common but not rare",1c Carnivora,Full
Goat (Capra aegagrus hircus),Bezoar ibex (Capra aegagrus aegagrus),10000 BCE[11][12][13],Iran,"milk, meat, fibre, skin, show, racing, fighting, clearing land, pets, horns, guarding, weed control, manure, lawn mowing",,Slight physical changes,"Common in captivity, threatened in wild, feral goats common",1b Bovidae,Full
Domestic pig (Sus scrofa domesticus),"Anatolian boar (Sus scrofa libycus),[14] Northern Chinese boar (Sus scrofa moupinensis)[15]",9000 BCE[16][17][18][19],"China, Western Asia","meat, leather, research, show, racing, fighting, truffle harvesting, pets, tusks, guarding, manure, weed control",,Some physical changes,Common in the wild. Much more common in captivity. Feral animals common in some areas.,1a Artiodactyla except Bovidae,Full
Sheep (Ovis aries)[3],"Unknown ancestor,[20] possibly Armenian mouflon (Ovis orientalis gmelini)",9000 BCE to 8500 BCE[21][22],"Anatolia, Zagros mountains","fibre, meat, milk, leather, pelt, vellum, pets, show, racing, research, guarding, fighting, ornamental, horns, lawn mowing, weed control, hides, manure",,Some physical changes,"Common in captivity, threatened in the wild",1b Bovidae,Full
Cattle (Bos taurus)[3][23][24],Eurasian aurochs (Bos primigenius primigenius)†,8000 BCE[25][26],"China,[27] Western Asia","meat, milk, leather, hides, working, plowing, draft, vellum, blood, transportation, soil fertilization, fighting, show, racing, pets, horns, guarding, dung, mount, fibre, weed control, lawn mowing",,Some physical changes,"Very common in captivity, wild relatives extinct, feral cattle fairly common",1b Bovidae,Full
Zebu (Bos taurus indicus)[3],Indian aurochs (Bos primigenius namadicus)†,8000 BCE,India,"meat, milk, leather, hides, working, plowing, draft, vellum, blood, transportation, soil fertilization, fighting, show, racing, pets, horns, dung, mount, lawn mowing",,Considerable physical changes,"Wild relatives extinct, common in captivity",1b Bovidae,Full
Cat (Felis catus)[3],African wildcat (Felis lybica)[28],8000–7500 BCE[28],Near East,"pets, meat, pest control, show, pelt, research",,"Tame, some physical changes","Very abundant in captivity, true wildcats less abundant though not rare. Feral populations very common.",1c Carnivora,Full
Chicken (Gallus gallus domesticus),Red junglefowl (Gallus gallus murghi) with some contribution from the Grey junglefowl (Gallus sonneratii),6000 BCE[29],India and Southeast Asia,"meat, eggs, feathers, leather, show, racing, ornamental, fighting, pest control, pets, guarding, manure, weed control",,"Some physical changes, considerable reproductive changes",Very common in captivity and the wild,2b Galliformes,Full
Guinea pig (Cavia porcellus),Montane guinea pig (Cavia tschudii),5000 BCE,Peru,"pets, meat, show, racing, research, lawn mowing, weed control, manure",,"Tame, slight physical changes",Somewhat common in captivity and the wild,1d Rodentia,Full
Donkey (Equus africanus asinus),"Nubian wild ass (Equus africanus africanus), Somali wild ass (Equus africanus somaliensis)[30]",5000 BCE[31][32],Egypt,"transportation, working, plowing, draft, mount, meat, milk, pets, racing, guarding, lawn mowing, patrol, manure, weed control",,Slight physical changes,"Somewhat common in captivity and as feral animals, wild animals critically endangered,",1e Other mammals,Full
